Penny Oleksiak,F,186.00,68
Peter Bernek,M,190.50,81.36
Phuoc Hoang,M,182.00,76.00
Piero Codia,M,190.00,80
Pilar Shimizu,F,168.00,61
Pol Arias Dourdet,M,175.00,80.00
Qibin Zhang,M,185,85
Rachel Nicol,F,157.00,61
Radomyos Matjiur,M,182.00,82.00
Radoslaw Kawecki,M,186.00,77.00
Rafael Muñoz,M,190.00,77.27
Ralph Goveia Assafrao,M,178.00,77
Rami Anis,M,178,78
Ranomi Kromowidjojo,F,184.00,67.27
Rebecca Soni,F,173.00,60.91
Rechael Tonjor,F,168.00,57.00
Reka Gyorgy,F,176.00,63.00
Rexford Tullius,M,,
Rie Kaneto,F,175,64
Rikako Ikee,F,170.00,56.00
Rikke Moller Pedersen,F,174,61
Rita Zeqiri,F,165.00,55.00
Robert Glinta,M,185.00,72.00
Robert Zbogar,M,183.00,72.00
Robin Neumann,F,173.00,63.00
Rocha Da,F,180.00,59.00
Ross Murdoch,M,183,76.00
Ruta Meilutyte,F,176.00,74
Rūta Meilutytė,F,176.00,74.09
Ryan Cochrane,M,193.04,80.00
Ryan Lochte,M,188.00,84.55
Ryan Murphy,M,191.00,93.18
Ryan Pini,M,196,98
Ryosuke Irie,M,178.00,64.00
Sajan Prakash,M,178.00,70.00
Santiago Grassi,M,187,82
Santo Condorelli,M,188.00,88
Sara Pastrana,F,170.00,55.00
Sarah Kohler,F,177.80,67.27
Sarah Sjostrom,F,182.00,68.18
Satomi Suzuki,F,168,62.00
Sebastiaan Verschuren,M,193.04,83.18
Sebastien Daniel Rousseau,M,190,86
Sehyeon An,F,168.00,56.00
Shane Ryan,M,198.00,89.00
Sharon Van Rouwendaal,F,172.72,64.09
Shivani Shivani,F,162.56,60.00
Simon Sjodin,M,191.00,84.00
Simona Baumrtova,F,176.00,66.00
Simone Sabbioni,M,185.00,79.00
Siobhan Haughey,F,177.80,64.09
Sofia Andreeva,F,190.00,74.00
Sophie Hansson,F,186.00,74.00
Sotiria Neofytou,F,165.00,60.00
Stefania Pirozzi,F,170,59
Stefanos Dimitriadis,M,189,82
Steffen Deibler,M,186.00,81.36
Steffen Deilbler,M,186,81
Stephen Milne,M,185.42,76.00
Sun Yang,M,200.00,92.27
Suyeon Back,F,173,61
Suzuka Hasegawa,F,165,56
Svetlana Chimrova,F,173.00,61.00
Takuro Fujii,M,184,82
Tales Cerdeira,M,182,77
Talisa Lanoe,F,167.00,50.00
Talita Marie Te Flan,F,176.00,63.00
Tamas Kenderesi,M,186,75
